pl_id,alias,source
pl/unknown-16,Slashes,repo
pl/unknown-16,Triple Slash,repo
pl/1c-enterprise,1C Enterprise,hyperpolyglot
pl/1c-enterprise,1C Enterprise,linguist
pl/4d,4th Dimension,repo
pl/4d,4D Language,repo
pl/action,Action!,rosettacode
pl/actionscript,as,pygments
pl/ada,ada95,pygments
pl/ada,ada2005,pygments
pl/ada-programming-language,ada,pygments
pl/ada-programming-language,ada95,pygments
pl/ada-programming-language,ada2005,pygments
pl/ada-programming-language,Ada,hyperpolyglot
pl/adblock-filter-list,text,pygments
pl/adobe-font-metrics,Adobe Font Metrics,hyperpolyglot
pl/adobe-font-metrics,Adobe Font Metrics,linguist
pl/agda-programming-language,agda,pygments
pl/agda-programming-language,Agda,hyperpolyglot
pl/ags-script,asc,pygments
pl/ags-script,pem,pygments
pl/ags-script,AGS Script,hyperpolyglot
pl/ags-script,AGS Script,linguist
pl/ajsone,Abusing JSON Esolang,repo
pl/algol,portugol,pygments
pl/alpine-abuild,Alpine Abuild,hyperpolyglot
pl/alpine-abuild,Alpine Abuild,linguist
pl/ambienttalk,ambienttalk/2,pygments
pl/ambienttalk,at,pygments
pl/amiga-e,AmigaE,rosettacode
pl/angelscript,actionscript,pygments
pl/angelscript,as,pygments
pl/ant-build-system,Ant Build System,hyperpolyglot
pl/ant-build-system,Ant Build System,linguist
pl/apache,apacheconf,pygments
pl/apache,aconf,pygments
pl/apacheconf,aconf,pygments
pl/apacheconf,apache,pygments
pl/apex,openedge,pygments
pl/apex,abl,pygments
pl/apex,progress,pygments
pl/api-blueprint,API Blueprint,hyperpolyglot
pl/api-blueprint,API Blueprint,linguist
pl/apl-programming-language,apl,pygments
pl/apl-programming-language,APL,hyperpolyglot
pl/apollo-guidance-computer,Apollo Guidance Computer,hyperpolyglot
pl/apollo-guidance-computer,Apollo Guidance Computer,linguist
pl/applesoft-basic,Applesoft BASIC,rosettacode
pl/arexx,rexx,pygments
pl/arturo,art,pygments
pl/asciidoc,asc,pygments
pl/asciidoc,pem,pygments
pl/ash,Almquist shell,repo
pl/asm,gas,pygments
pl/asn-1-2,asn1,pygments
pl/asn-1-2,ASN1,repo
pl/asn-1-2,Abstract Syntax Notation One,repo
pl/asp-net,aspx-vb,pygments
pl/assembly,nasm,pygments
pl/assembly,asm,repo
pl/assembly,machine code,repo
pl/asymptote,asy,pygments
pl/at-2,ambienttalk,pygments
pl/at-2,ambienttalk/2,pygments
pl/autohotkey,ahk,pygments
pl/avro-idl,Apache Avro IDL,repo
pl/avro-idl,AVDL,repo
pl/awk,gawk,pygments
pl/awk,mawk,pygments
pl/awk,nawk,pygments
pl/aya,Aya Prover,repo
pl/b4x,vb.net,pygments
pl/b4x,vbnet,pygments
pl/b4x,lobas,pygments
pl/b4x,oobas,pygments
pl/b4x,sobas,pygments
pl/b4x,visual-basic,pygments
pl/b4x,visualbasic,pygments
pl/b4x,B4A,repo
pl/b4x,B4J,repo
pl/b4x,B4i,repo
pl/b4x,B4R,repo
pl/bal,Basic Assembly Language,repo
pl/bal,System/360 Assembly,repo
pl/bash,sh,pygments
pl/bash,ksh,pygments
pl/bash,zsh,pygments
pl/bash,shell,pygments
pl/bash,openrc,pygments
pl/basic,qbasic,pygments
pl/basic-256,BASIC256,rosettacode
pl/batch,bat,pygments
pl/batch,dosbatch,pygments
pl/batch,winbatch,pygments
pl/batchfile,batch,pygments
pl/batchfile,bat,pygments
pl/batchfile,dosbatch,pygments
pl/batchfile,winbatch,pygments
pl/batchfile,Batch File,rosettacode
pl/batchfile,Batch,repo
pl/batchfile,Windows Batch,repo
pl/batchfile,CMD,repo
pl/batchfile,MS-DOS Batch,repo
pl/bazel,python,pygments
pl/bazel,py,pygments
pl/bazel,sage,pygments
pl/bazel,python3,pygments
pl/bazel,py3,pygments
pl/bazel,starlark,pygments
pl/bazel,pyi,pygments
pl/bc,basic calculator,repo
pl/bc,bench calculator,repo
pl/beef,brainfuck,pygments
pl/beef,bf,pygments
pl/berry,be,pygments
pl/bf-joust,BFJoust,repo
pl/bf-joust,Brainfuck Joust,repo
pl/bfasm,Brainfuck Assembly,repo
pl/bfasm,bf-asm,repo
pl/bibtex,bib,pygments
pl/bibtex-style,bst,pygments
pl/bibtex-style,bst-pybtex,pygments
pl/bitbake,pov,pygments
pl/bitbitjump,BBJ,repo
pl/blitzbasic,b3d,pygments
pl/blitzbasic,bplus,pygments
pl/blitzmax,bmax,pygments
pl/boo-programming-language,boo,pygments
pl/boo-programming-language,Boo,hyperpolyglot
pl/brainfuck,bf,pygments
pl/brainif,Brainf***,rosettacode
pl/bro,zeek,pygments
pl/brook,BrookGPU,repo
pl/brook,Brook for GPUs,repo
pl/buildstream,bst,pygments
pl/buildstream,bst-pybtex,pygments
pl/cpp,cpp,pygments
pl/cpp,ΜC++,rosettacode
pl/cpp,CPP,repo
pl/c-programming-language,c,pygments
